Macrotrends Data Download
date, value
2010-10-18,11143.6900
2010-10-19,10978.6200
2010-10-20,11107.9700
2010-10-21,11146.5700
2010-10-22,11132.5600
2010-10-25,11164.0500
2010-10-26,11169.4600
2010-10-27,11126.2800
2010-10-28,11113.9500
2010-10-29,11118.4900
2010-11-01,11124.6200
2010-11-02,11188.7200
2010-11-03,11215.1300
2010-11-04,11434.8400
2010-11-05,11444.0800
2010-11-08,11406.8400
2010-11-09,11346.7500
2010-11-10,11357.0400
2010-11-11,11283.1000
2010-11-12,11192.5800
2010-11-15,11201.9700
2010-11-16,11023.5000
2010-11-17,11007.8800
2010-11-18,11181.2300
2010-11-19,11203.5500
2010-11-22,11178.5800
2010-11-23,11036.3700
2010-11-24,11187.2800
2010-11-26,11091.8700
2010-11-29,11052.4900
2010-11-30,11006.0200
2010-12-01,11255.7800
2010-12-02,11362.4100
2010-12-03,11382.0900
2010-12-06,11362.1900
2010-12-07,11359.1600
2010-12-08,11372.4800
2010-12-09,11370.0600
2010-12-10,11410.3200
2010-12-13,11428.5600
2010-12-14,11476.5400
2010-12-15,11457.4700
2010-12-16,11499.2500
2010-12-17,11491.9100
2010-12-20,11478.1300
2010-12-21,11533.1600
2010-12-22,11559.4900
2010-12-23,11573.4900
2010-12-27,11555.0300
2010-12-28,11575.5400
2010-12-29,11585.3800
2010-12-30,11569.7100
2010-12-31,11577.5100
2011-01-03,11670.7500
2011-01-04,11691.1800
2011-01-05,11722.8900
2011-01-06,11697.3100
2011-01-07,11674.7600
2011-01-10,11637.4500
2011-01-11,11671.8800
2011-01-12,11755.4400
2011-01-13,11731.9000
2011-01-14,11787.3800
2011-01-18,11837.9300
2011-01-19,11825.2900
2011-01-20,11822.8000
2011-01-21,11871.8400
2011-01-24,11980.5200
2011-01-25,11977.1900
2011-01-26,11985.4400
2011-01-27,11989.8300
2011-01-28,11823.7000
2011-01-31,11891.9300
2011-02-01,12040.1600
2011-02-02,12041.9700
2011-02-03,12062.2600
2011-02-04,12092.1500
2011-02-07,12161.6300
2011-02-08,12233.1500
